ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,label,subject
-58.0,-35.0,-36.0,83.95,0.339268,32.66,2,S14
-56.0,8.0,31.0,-2.92,0.313683,31.71,4,S14
-46.0,45.0,9.0,-5.81,0.33083,30.87,4,S3
-49.0,-35.0,-35.0,43.55,0.337989,32.68,2,S14
-53.0,-34.0,-16.0,25.78,0.281702,32.25,1,S14
25.0,-59.0,13.0,61.81,0.642214,34.03,2,S2
-56.0,8.0,31.0,5.31,0.311125,31.59,4,S14
-37.0,-38.0,-37.0,-31.01,0.290656,32.16,1,S14
50.0,23.0,35.0,-23.59,0.113024,35.87,1,S2
-37.0,-52.0,6.0,-3.54,2.253874,32.79,1,S3
-57.0,-26.0,17.0,286.5,1.225314,33.07,1,S3
-32.0,-48.0,26.0,5.27,0.327755,33.15,2,S14
-29.0,57.0,10.0,2.98,1.511233,31.87,2,S3
-64.0,-3.0,11.0,4.22,0.334151,33.18,2,S14
-31.0,-7.0,-56.0,-7.14,0.123067,33.05,1,S4
-48.0,37.0,-8.0,6.53,4.382512,32.37,2,S3
-59.0,-7.0,26.0,5.39,4.435043,32.71,1,S3
-17.0,60.0,10.0,-168.18,2.262214,32.23,2,S4
-56.0,8.0,32.0,13.12,0.316242,31.71,4,S14
-44.0,19.0,43.0,76.9,0.175513,32.75,3,S4
-51.0,19.0,35.0,-39.91,0.179351,32.77,3,S4
-53.0,5.0,36.0,-35.01,0.317521,32.41,4,S14
15.0,-59.0,14.0,0.57,0.583273,33.84,2,S2
-47.0,-9.0,43.0,8.35,6.106515,32.63,1,S3
-18.0,-8.0,-61.0,35.64,0.121788,33.07,1,S4
-26.0,61.0,11.0,-63.97,2.078013,32.23,2,S4
-56.0,7.0,31.0,-3.46,0.314962,31.73,4,S14
-65.0,-1.0,2.0,-56.95,0.277864,32.27,1,S14
-61.0,-9.0,35.0,-12.07,0.365424,30.71,3,S3
-30.0,-55.0,10.0,20.47,0.263792,32.18,1,S14
21.0,-59.0,10.0,-19.91,0.188305,31.45,4,S4
-17.0,61.0,10.0,129.87,2.099238,32.34,2,S4
-31.0,-55.0,12.0,-24.79,0.272747,32.13,1,S14
-56.0,7.0,32.0,-4.99,0.308566,31.71,4,S14
-57.0,7.0,31.0,-14.97,0.309845,31.61,4,S14
57.0,23.0,17.0,25.99,0.188623,33.73,4,S2
-63.0,2.0,17.0,-6.3,0.18063,31.41,4,S4
-56.0,2.0,35.0,45.96,0.194701,31.39,4,S4
4.0,-55.0,28.0,13.09,0.392331,30.71,3,S3
37.0,38.0,35.0,-36.79,0.653815,35.75,1,S2
-46.0,-45.0,12.0,-22.3,0.30217,33.07,2,S14
57.0,23.0,17.0,-13.96,0.216812,33.63,4,S2
-42.0,-44.0,25.0,-77.71,2.172151,32.33,2,S4
-54.0,7.0,36.0,17.11,0.321359,32.39,4,S14
-49.0,-38.0,-21.0,34.62,0.288098,32.09,1,S14
-56.0,8.0,31.0,4.05,0.312404,31.63,4,S14
16.0,-58.0,12.0,61.95,0.601211,33.95,2,S2
-65.0,-2.0,5.0,39.9,0.181909,31.47,4,S4
-57.0,-10.0,-30.0,8.31,4.577974,32.34,2,S3
49.0,13.0,-38.0,25.19,0.124556,35.65,1,S2
62.0,0.0,11.0,17.32,0.238594,33.99,4,S2
-33.0,-55.0,1.0,-8.23,0.275305,32.21,1,S14
-23.0,59.0,6.0,-131.11,2.992407,32.61,2,S4
